n,algorithm,median_us,minimum_us,samples,theoretical_flops,speedup_vs_radix2,checksum
32,split-radix,0.406000000,0.401000000,16384,456,0.881773,-4.2921972274780273
32,tangent,0.418000000,0.248000000,16384,456,0.856459,-4.2921981811523438
32,tangent-x86-asm,0.066000000,0.062000000,16384,456,5.424242,-4.2921981811523438
32,tangent-sse,0.140000000,0.135000000,16384,456,2.557143,-4.2921981811523438
32,tangent-sse2,0.143000000,0.135000000,16384,456,2.503497,-4.2921981811523438
32,tangent-sse3,0.229000000,0.141000000,16384,456,1.563319,-4.2921981811523438
32,tangent-ssse3,0.141000000,0.136000000,16384,456,2.539007,-4.2921981811523438
32,tangent-sse4.1,0.142000000,0.137000000,16384,456,2.521127,-4.2921981811523438
32,tangent-sse4.2,0.192000000,0.137000000,16384,456,1.864583,-4.2921981811523438
32,lane4-c,0.228000000,0.223000000,16384,0,1.570175,-4.2921977043151855
32,lane4-sse,0.073000000,0.069000000,16384,0,4.904110,-4.2921972274780273
32,lane4-sse2,0.074000000,0.070000000,16384,0,4.837838,-4.2921972274780273
32,lane4-sse3,0.076000000,0.072000000,16384,0,4.710526,-4.2921972274780273
32,lane4-ssse3,0.076000000,0.069000000,16384,0,4.710526,-4.2921972274780273
32,lane4-sse4.1,0.105000000,0.072000000,16384,0,3.409524,-4.2921972274780273
32,lane4-sse4.2,0.075000000,0.072000000,16384,0,4.773333,-4.2921972274780273
32,lane4-avx,0.052000000,0.048000000,16384,0,6.884615,-4.2921977043151855
32,lane4-avx-fma,0.051000000,0.049000000,16384,0,7.019608,-4.2921977043151855
32,lane4-avx2,0.051000000,0.048000000,16384,0,7.019608,-4.2921977043151855
32,lane4-avx2-fma,0.052000000,0.049000000,16384,0,6.884615,-4.2921977043151855
32,lane2-sse,0.069000000,0.067000000,16384,0,5.188406,-4.2921972274780273
32,ffmpeg-avtx,0.072000000,0.069000000,16384,0,4.972222,-4.2921981811523438
32,lane8-avx2-fma,0.074000000,0.070000000,16384,0,4.837838,-4.2921977043151855
32,hw-sse-auto,0.070000000,0.067000000,16384,0,5.114286,-4.2921972274780273
32,ffmpeg-sse,0.198000000,0.183000000,16384,0,1.808081,-4.2921981811523438
32,scaled-h16-hybrid,0.385000000,0.380000000,16384,0,0.929870,-4.2921981811523438
32,scaled-h16-paired-avx2,0.385000000,0.381000000,16384,0,0.929870,-4.2921981811523438
64,radix-2,0.789000000,0.783000000,16384,1296,1.000000,10.391799926757812
64,split-radix,0.928000000,0.895000000,16384,1160,0.850216,10.391799926757812
64,tangent,0.527000000,0.522000000,16384,1152,1.497154,10.391799926757812
64,tangent-x86-asm,0.114000000,0.107000000,16384,1152,6.921053,10.391799926757812
64,tangent-sse,0.249000000,0.245000000,16384,1152,3.168675,10.391799926757812
64,tangent-sse2,0.250000000,0.245000000,16384,1152,3.156000,10.391799926757812
64,tangent-sse3,0.255000000,0.243000000,16384,1152,3.094118,10.391799926757812
64,tangent-ssse3,0.248000000,0.243000000,16384,1152,3.181452,10.391799926757812
64,tangent-sse4.1,0.255000000,0.250000000,16384,1152,3.094118,10.391799926757812
64,tangent-sse4.2,0.256000000,0.243000000,16384,1152,3.082031,10.391799926757812
64,lane4-c,0.460000000,0.455000000,16384,0,1.715217,10.391799926757812
64,lane4-sse,0.121000000,0.117000000,16384,0,6.520661,10.391799926757812
64,lane4-sse2,0.121000000,0.117000000,16384,0,6.520661,10.391799926757812
64,lane4-sse3,0.124000000,0.117000000,16384,0,6.362903,10.391799926757812
64,lane4-ssse3,0.121000000,0.117000000,16384,0,6.520661,10.391799926757812
64,lane4-sse4.1,0.124000000,0.115000000,16384,0,6.362903,10.391799926757812
64,lane4-sse4.2,0.122000000,0.116000000,16384,0,6.467213,10.391799926757812
64,lane4-avx,0.077000000,0.074000000,16384,0,10.246753,10.391799926757812
